race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
La Vuelta,1,stage,1,J. PHILIPSEN,jasper-philipsen,https://www.lavuelta.es/en/rider/71/alpecin-deceuninck/jasper-philipsen,71,ALPECIN-DECEUNINCK,,,04h 09' 12'',-,-,B : 10'',https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,2,E. VERNON,ethan-kane-vernon,https://www.lavuelta.es/en/rider/227/israel-premier-tech/ethan-kane-vernon,227,ISRAEL - PREMIER TECH,,,04h 09' 12'',-,-,B : 6'',https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,3,O. AULAR SANABRIA,orluis-alberto-aular-sanabria,https://www.lavuelta.es/en/rider/32/movistar-team/orluis-alberto-aular-sanabria,32,MOVISTAR TEAM,,,04h 09' 12'',-,-,B : 4'',https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,4,E. VIVIANI,elia-viviani,https://www.lavuelta.es/en/rider/207/lotto/elia-viviani,207,LOTTO,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,5,I. GARCIA CORTINA,ivan-garcia-cortina,https://www.lavuelta.es/en/rider/36/movistar-team/ivan-garcia-cortina,36,MOVISTAR TEAM,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,6,D. GONZALEZ LOPEZ,david-gonzalez-lopez,https://www.lavuelta.es/en/rider/117/q36-5-pro-cycling-team/david-gonzalez-lopez,117,Q36.5 PRO CYCLING TEAM,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,7,B. COQUARD,bryan-coquard,https://www.lavuelta.es/en/rider/175/cofidis/bryan-coquard,175,COFIDIS,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,8,G. SILVA COUSSAN,guillermo-thomas-silva-coussan,https://www.lavuelta.es/en/rider/141/caja-rural-seguros-rga/guillermo-thomas-silva-coussan,141,CAJA RURAL-SEGUROS RGA,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,9,T. PIDCOCK,tom-pidcock,https://www.lavuelta.es/en/rider/111/q36-5-pro-cycling-team/tom-pidcock,111,Q36.5 PRO CYCLING TEAM,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,10,M. MIHKELS,madis-mihkels,https://www.lavuelta.es/en/rider/83/ef-education-easypost/madis-mihkels,83,EF EDUCATION - EASYPOST,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,11,T. VAN DIJKE,tim-van-dijke,https://www.lavuelta.es/en/rider/47/red-bull-bora-hansgrohe/tim-van-dijke,47,RED BULL - BORA - HANSGROHE,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,12,B. TURNER,ben-turner,https://www.lavuelta.es/en/rider/68/ineos-grenadiers/ben-turner,68,INEOS GRENADIERS,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,13,E. PLANCKAERT,edward-planckaert,https://www.lavuelta.es/en/rider/75/alpecin-deceuninck/edward-planckaert,75,ALPECIN-DECEUNINCK,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,14,M. PEDERSEN,mads-pedersen,https://www.lavuelta.es/en/rider/27/lidl-trek/mads-pedersen,27,LIDL-TREK,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,15,D. CAVIA SANZ,daniel-cavia-sanz,https://www.lavuelta.es/en/rider/218/burgos-burpellet-bh/daniel-cavia-sanz,218,BURGOS-BURPELLET-BH,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,16,C. VAN UDEN,casper-cornelis-van-uden,https://www.lavuelta.es/en/rider/197/team-picnic-postnl/casper-cornelis-van-uden,197,TEAM PICNIC POSTNL,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
La Vuelta,1,stage,17,G. GAROFOLI,gianmarco-garofoli,https://www.lavuelta.es/en/rider/58/soudal-quick-step/gianmarco-garofoli,58,SOUDAL QUICK-STEP,,,04h 09' 12'',-,-,-,https://www.lavuelta.es/en/rankings/stage-1
