rider_name,rider_slug,rider_url
A. BAGIOLI,andrea-bagioli,https://www.lavuelta.es/en/rider/21/lidl-trek/andrea-bagioli
A. BALDERSTONE ROUMENS,abel-balderstone-roumens,https://www.lavuelta.es/en/rider/142/caja-rural-seguros-rga/abel-balderstone-roumens
A. FAGUNDEZ LIMA,antonio-eric-fagundez-lima,https://www.lavuelta.es/en/rider/213/burgos-burpellet-bh/antonio-eric-fagundez-lima
A. FOLDAGER,anders-foldager,https://www.lavuelta.es/en/rider/154/team-jayco-alula/anders-foldager
A. GHEBREIGZABHIER,amanuel-ghebreigzabhier,https://www.lavuelta.es/en/rider/24/lidl-trek/amanuel-ghebreigzabhier
A. LIVYNS,arjen-livyns,https://www.lavuelta.es/en/rider/203/lotto/arjen-livyns
A. MARIT,arne-marit,https://www.lavuelta.es/en/rider/184/intermarche-wanty/arne-marit
A. MOLENAAR,alex-molenaar,https://www.lavuelta.es/en/rider/146/caja-rural-seguros-rga/alex-molenaar
A. RYAN,archie-ryan,https://www.lavuelta.es/en/rider/86/ef-education-easypost/archie-ryan
A. SEGAERT,alec-segaert,https://www.lavuelta.es/en/rider/204/lotto/alec-segaert
A. TIBERI,antonio-tiberi,https://www.lavuelta.es/en/rider/101/bahrain-victorious/antonio-tiberi
A. VERRE,alessandro-verre,https://www.lavuelta.es/en/rider/167/arkea-b-b-hotels/alessandro-verre
A. ZINGLE,axel-zingle,https://www.lavuelta.es/en/rider/12/team-visma-lease-a-bike/axel-zingle
B. ARMIRAIL,bruno-armirail,https://www.lavuelta.es/en/rider/92/decathlon-ag2r-la-mondiale-team/bruno-armirail
B. COQUARD,bryan-coquard,https://www.lavuelta.es/en/rider/175/cofidis/bryan-coquard
B. JUNGELS,bob-jungels,https://www.lavuelta.es/en/rider/64/ineos-grenadiers/bob-jungels
B. KOERDT,bjoern-koerdt,https://www.lavuelta.es/en/rider/193/team-picnic-postnl/bjoern-koerdt
B. O'CONNOR,ben-alexander-o-connor,https://www.lavuelta.es/en/rider/151/team-jayco-alula/ben-alexander-o-connor
B. RIVERA VARGAS,brandon-smith-rivera-vargas,https://www.lavuelta.es/en/rider/67/ineos-grenadiers/brandon-smith-rivera-vargas
B. ROLLAND,brieuc-rolland,https://www.lavuelta.es/en/rider/137/groupama-fdj/brieuc-rolland
B. TULETT,ben-tulett,https://www.lavuelta.es/en/rider/17/team-visma-lease-a-bike/ben-tulett
B. TURNER,ben-turner,https://www.lavuelta.es/en/rider/68/ineos-grenadiers/ben-turner
B. ZWIEHOFF,ben-zwiehoff,https://www.lavuelta.es/en/rider/48/red-bull-bora-hansgrohe/ben-zwiehoff
C. BRAZ AFONSO,clement-braz-afonso,https://www.lavuelta.es/en/rider/131/groupama-fdj/clement-braz-afonso
