race,stage_number,stage_name,date,status,winner,winner_url,team,team_url,distance_km,race_type,start_city,finish_city,cycling_event_label,cycling_country,cycling_url,rankings_url,stage_page_title,rankings_page_title,stage_start_local,stage_finish_expected_local,stage_first_start_local,stage_last_arrival_local,poll_state,recommended_poll_minutes
La Vuelta,1,Monaco > Monaco,2026-08-22,scheduled,J. PHILIPSEN,https://www.lavuelta.es/en/rider/71/alpecin-deceuninck/jasper-philipsen,ALPECIN-DECEUNINCK,,9,Individual time-trial,Monaco,Monaco,La Vuelta 2026 - Stage 1,Spain,https://www.lavuelta.es/en/stage-1,https://www.lavuelta.es/en/rankings/stage-1,Stage 1 - Monaco > Monaco - La Vuelta 2026,Official classifications of La Vuelta - Stage 1,,,,,unknown,60
La Vuelta,2,Monaco > Manosque,2026-08-23,scheduled,J. VINGEGAARD,https://www.lavuelta.es/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen,TEAM VISMA | LEASE A BIKE,,215.2,Hilly,Monaco,Manosque,La Vuelta 2026 - Stage 2,Spain,https://www.lavuelta.es/en/stage-2,https://www.lavuelta.es/en/rankings/stage-2,Stage 2 - Monaco > Manosque - La Vuelta 2026,Official classifications of La Vuelta - Stage 2,,,,,unknown,60
La Vuelta,3,Gruissan - Aude > Font Romeu,2026-08-24,scheduled,D. GAUDU,https://www.lavuelta.es/en/rider/133/groupama-fdj/david-gaudu,GROUPAMA-FDJ,,166.7,Medium Mountains,Gruissan - Aude,Font Romeu,La Vuelta 2026 - Stage 3,Spain,https://www.lavuelta.es/en/stage-3,https://www.lavuelta.es/en/rankings/stage-3,Stage 3 - Gruissan - Aude > Font Romeu - La Vuelta 2026,Official classifications of La Vuelta - Stage 3,,,,,unknown,60
La Vuelta,4,Andorra la Vella > Andorra la Vella,2026-08-25,scheduled,B. TURNER,https://www.lavuelta.es/en/rider/68/ineos-grenadiers/ben-turner,INEOS GRENADIERS,,104.9,Mountain,Andorra la Vella,Andorra la Vella,La Vuelta 2026 - Stage 4,Spain,https://www.lavuelta.es/en/stage-4,https://www.lavuelta.es/en/rankings/stage-4,Stage 4 - Andorra la Vella > Andorra la Vella - La Vuelta 2026,Official classifications of La Vuelta - Stage 4,,,,,unknown,60
La Vuelta,5,Falset . Costa Daurada > Roquetes. Terres de l'Ebre,2026-08-26,scheduled,J. VINGEGAARD,https://www.lavuelta.es/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen,TEAM VISMA | LEASE A BIKE,,171.1,Hilly,Falset . Costa Daurada,Roquetes. Terres de l'Ebre,La Vuelta 2026 - Stage 5,Spain,https://www.lavuelta.es/en/stage-5,https://www.lavuelta.es/en/rankings/stage-5,Stage 5 - Falset . Costa Daurada > Roquetes. Terres de l'Ebre - La Vuelta 2026,Official classifications of La Vuelta - Stage 5,,,,,unknown,60
La Vuelta,6,Alcossebre > Castelló,2026-08-27,scheduled,J. VINE,https://www.lavuelta.es/en/rider/8/uae-team-emirates-xrg/jay-vine,UAE TEAM EMIRATES XRG,,176.8,Medium Mountains,Alcossebre,Castelló,La Vuelta 2026 - Stage 6,Spain,https://www.lavuelta.es/en/stage-6,https://www.lavuelta.es/en/rankings/stage-6,Stage 6 - Alcossebre > Castelló - La Vuelta 2026,Official classifications of La Vuelta - Stage 6,,,,,unknown,60
La Vuelta,7,vall d'Alba > Aramón Valdelinares,2026-08-28,scheduled,J. AYUSO,https://www.lavuelta.es/en/rider/2/uae-team-emirates-xrg/juan-ayuso-pesquera,UAE TEAM EMIRATES XRG,,149.9,Mountain,vall d'Alba,Aramón Valdelinares,La Vuelta 2026 - Stage 7,Spain,https://www.lavuelta.es/en/stage-7,https://www.lavuelta.es/en/rankings/stage-7,Stage 7 - vall d'Alba > Aramón Valdelinares - La Vuelta 2026,Official classifications of La Vuelta - Stage 7,,,,,unknown,60
La Vuelta,8,Puçol > Xeraco,2026-08-29,scheduled,J. PHILIPSEN,https://www.lavuelta.es/en/rider/71/alpecin-deceuninck/jasper-philipsen,ALPECIN-DECEUNINCK,,176.4,Flat,Puçol,Xeraco,La Vuelta 2026 - Stage 8,Spain,https://www.lavuelta.es/en/stage-8,https://www.lavuelta.es/en/rankings/stage-8,Stage 8 - Puçol > Xeraco - La Vuelta 2026,Official classifications of La Vuelta - Stage 8,,,,,unknown,60
La Vuelta,9,La Vila Joiosa/ Villajoyosa > Alto de Aitana.Costa Blanca,2026-08-30,scheduled,J. VINGEGAARD,https://www.lavuelta.es/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen,TEAM VISMA | LEASE A BIKE,,187.5,Mountain,La Vila Joiosa/ Villajoyosa,Alto de Aitana.Costa Blanca,La Vuelta 2026 - Stage 9,Spain,https://www.lavuelta.es/en/stage-9,https://www.lavuelta.es/en/rankings/stage-9,Stage 9 - La Vila Joiosa/ Villajoyosa > Alto de Aitana.Costa Blanca - La Vuelta 2026,Official classifications of La Vuelta - Stage 9,,,,,unknown,60
La Vuelta,10,Alcaraz > Elche de la Sierra,2026-09-01,scheduled,J. VINE,https://www.lavuelta.es/en/rider/8/uae-team-emirates-xrg/jay-vine,UAE TEAM EMIRATES XRG,,184.5,Hilly,Alcaraz,Elche de la Sierra,La Vuelta 2026 - Stage 10,Spain,https://www.lavuelta.es/en/stage-10,https://www.lavuelta.es/en/rankings/stage-10,Stage 10 - Alcaraz > Elche de la Sierra - La Vuelta 2026,Official classifications of La Vuelta - Stage 10,,,,,unknown,60
