race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
Tour de France,1,gc,1,J. VINGEGAARD,jonas-vingegaard-hansen,https://www.letour.fr/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen,11.0,TEAM VISMA | LEASE A BIKE,team-visma-lease-a-bike,https://www.letour.fr/en/team/TVL/team-visma-lease-a-bike,00h 21' 47'',-,-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,2,F. GANNA,filippo-ganna,https://www.letour.fr/en/rider/84/netcompany-ineos-cycling-team/filippo-ganna,84.0,NETCOMPANY INEOS CYCLING TEAM,netcompany-ineos-cycling-team,https://www.letour.fr/en/team/NCI/netcompany-ineos-cycling-team,00h 21' 55'',+ 00h 00' 08'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,3,T. POGACAR,tadej-pogacar,https://www.letour.fr/en/rider/1/uae-team-emirates-xrg/tadej-pogacar,1.0,UAE TEAM EMIRATES XRG,uae-team-emirates-xrg,https://www.letour.fr/en/team/UEX/uae-team-emirates-xrg,00h 21' 59'',+ 00h 00' 12'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,4,J. AYUSO,juan-ayuso-pesquera,https://www.letour.fr/en/rider/31/lidl-trek/juan-ayuso-pesquera,31.0,LIDL-TREK,lidl-trek,https://www.letour.fr/en/team/LTK/lidl-trek,00h 22' 03'',+ 00h 00' 16'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,5,R. EVENEPOEL,remco-evenepoel,https://www.letour.fr/en/rider/21/red-bull-bora-hansgrohe/remco-evenepoel,21.0,RED BULL - BORA - HANSGROHE,red-bull-bora-hansgrohe,https://www.letour.fr/en/team/RBH/red-bull-bora-hansgrohe,00h 22' 06'',+ 00h 00' 19'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,6,I. DEL TORO,isaac-del-toro-romero,https://www.letour.fr/en/rider/2/uae-team-emirates-xrg/isaac-del-toro-romero,2.0,UAE TEAM EMIRATES XRG,uae-team-emirates-xrg,https://www.letour.fr/en/team/UEX/uae-team-emirates-xrg,00h 22' 13'',+ 00h 00' 26'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,7,D. PIGANZOLI,davide-piganzoli,https://www.letour.fr/en/rider/18/team-visma-lease-a-bike/davide-piganzoli,18.0,TEAM VISMA | LEASE A BIKE,team-visma-lease-a-bike,https://www.letour.fr/en/team/TVL/team-visma-lease-a-bike,00h 22' 15'',+ 00h 00' 28'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,8,F. LIPOWITZ,florian-lipowitz,https://www.letour.fr/en/rider/25/red-bull-bora-hansgrohe/florian-lipowitz,25.0,RED BULL - BORA - HANSGROHE,red-bull-bora-hansgrohe,https://www.letour.fr/en/team/RBH/red-bull-bora-hansgrohe,00h 22' 22'',+ 00h 00' 35'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,9,T. FOSS,tobias-svendsen-foss,https://www.letour.fr/en/rider/83/netcompany-ineos-cycling-team/tobias-svendsen-foss,83.0,NETCOMPANY INEOS CYCLING TEAM,netcompany-ineos-cycling-team,https://www.letour.fr/en/team/NCI/netcompany-ineos-cycling-team,00h 22' 25'',+ 00h 00' 38'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,10,P. SEIXAS,paul-seixas,https://www.letour.fr/en/rider/51/decathlon-cma-cgm-team/paul-seixas,51.0,DECATHLON CMA CGM TEAM,decathlon-cma-cgm-team,https://www.letour.fr/en/team/DCT/decathlon-cma-cgm-team,00h 22' 26'',+ 00h 00' 39'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
