rider_name,rider_slug,rider_url,rider_country_code,rider_country_flag
A. ARANBURU,alex-aranburu-deva,https://www.letour.fr/en/rider/163/cofidis/alex-aranburu-deva,ESP,esp
A. BALDERSTONE,abel-balderstone-roumens,https://www.letour.fr/en/rider/222/caja-rural-seguros-rga/abel-balderstone-roumens,ESP,esp
A. BAUDIN,alex-baudin,https://www.letour.fr/en/rider/43/ef-education-easypost/alex-baudin,FRA,fra
A. CHARMIG,anthon-charmig,https://www.letour.fr/en/rider/123/uno-x-mobility/anthon-charmig,DEN,den
A. DE KLEIJN,arvid-de-kleijn,https://www.letour.fr/en/rider/192/tudor-pro-cycling-team/arvid-de-kleijn,NED,ned
A. DE LIE,arnaud-de-lie,https://www.letour.fr/en/rider/151/lotto-intermarche/arnaud-de-lie,BEL,bel
A. DELETTRE,alexandre-delettre,https://www.letour.fr/en/rider/204/totalenergies/alexandre-delettre,FRA,fra
A. GATE,aaron-murray-gate,https://www.letour.fr/en/rider/63/xds-astana-team/aaron-murray-gate,NZL,nzl
A. JOHANNESSEN,anders-halland-johannessen,https://www.letour.fr/en/rider/125/uno-x-mobility/anders-halland-johannessen,NOR,nor
A. KIRSCH,alex-kirsch,https://www.letour.fr/en/rider/166/cofidis/alex-kirsch,LUX,lux
A. MOLENAAR,alex-molenaar,https://www.letour.fr/en/rider/224/caja-rural-seguros-rga/alex-molenaar,NED,ned
A. PARET PEINTRE,aurelien-paret-peintre,https://www.letour.fr/en/rider/56/decathlon-cma-cgm-team/aurelien-paret-peintre,FRA,fra
A. SKAARSETH,anders-skaarseth,https://www.letour.fr/en/rider/126/uno-x-mobility/anders-skaarseth,NOR,nor
A. TIBERI,antonio-tiberi,https://www.letour.fr/en/rider/77/bahrain-victorious/antonio-tiberi,ITA,ita
A. TURGIS,anthony-turgis,https://www.letour.fr/en/rider/207/totalenergies/anthony-turgis,FRA,fra
A. YATES,adam-yates,https://www.letour.fr/en/rider/8/uae-team-emirates-xrg/adam-yates,GBR,gbr
B. ARMIRAIL,bruno-armirail,https://www.letour.fr/en/rider/13/team-visma-lease-a-bike/bruno-armirail,FRA,fra
B. GIRMAY,biniam-girmay,https://www.letour.fr/en/rider/131/nsn-cycling-team/biniam-girmay,ERI,eri
B. HEALY,ben-healy,https://www.letour.fr/en/rider/44/ef-education-easypost/ben-healy,IRL,irl
B. MCNULTY,brandon-mcnulty,https://www.letour.fr/en/rider/4/uae-team-emirates-xrg/brandon-mcnulty,USA,usa
B. O'CONNOR,ben-alexander-o-connor,https://www.letour.fr/en/rider/111/team-jayco-alula/ben-alexander-o-connor,AUS,aus
B. THOMAS,benjamin-thomas,https://www.letour.fr/en/rider/168/cofidis/benjamin-thomas,FRA,fra
B. VAN LERBERGHE,bert-van-lerberghe,https://www.letour.fr/en/rider/96/soudal-quick-step/bert-van-lerberghe,BEL,bel
B. VAN MOER,brent-van-moer,https://www.letour.fr/en/rider/177/pinarello-q36-5-pro-cycling-team/brent-van-moer,BEL,bel
B. VEISTROFFER,baptiste-veistroffer,https://www.letour.fr/en/rider/157/lotto-intermarche/baptiste-veistroffer,FRA,fra
C. BERTHET,clement-berthet,https://www.letour.fr/en/rider/182/groupama-fdj-united/clement-berthet,FRA,fra
C. BOL,cees-bol,https://www.letour.fr/en/rider/53/decathlon-cma-cgm-team/cees-bol,NED,ned
C. BRAZ AFONSO,clement-braz-afonso,https://www.letour.fr/en/rider/183/groupama-fdj-united/clement-braz-afonso,FRA,fra
C. HARPER,christopher-harper,https://www.letour.fr/en/rider/173/pinarello-q36-5-pro-cycling-team/christopher-harper,AUS,aus
C. RUSSO,clement-russo,https://www.letour.fr/en/rider/188/groupama-fdj-united/clement-russo,FRA,fra
C. UIJTDEBROEKS,cian-uijtdebroeks,https://www.letour.fr/en/rider/141/movistar-team/cian-uijtdebroeks,BEL,bel
C. VERONA,carlos-verona-quintanilla,https://www.letour.fr/en/rider/38/lidl-trek/carlos-verona-quintanilla,ESP,esp
D. BALLERINI,davide-ballerini,https://www.letour.fr/en/rider/62/xds-astana-team/davide-ballerini,ITA,ita
D. CARUSO,damiano-caruso,https://www.letour.fr/en/rider/73/bahrain-victorious/damiano-caruso,ITA,ita
D. GEE,derek-james-gee,https://www.letour.fr/en/rider/32/lidl-trek/derek-james-gee,CAN,can
D. GODON,dorian-godon,https://www.letour.fr/en/rider/85/netcompany-ineos-cycling-team/dorian-godon,FRA,fra
D. HOOLE,daan-hoole,https://www.letour.fr/en/rider/54/decathlon-cma-cgm-team/daan-hoole,NED,ned
D. HOWSON,damien-craig-howson,https://www.letour.fr/en/rider/175/pinarello-q36-5-pro-cycling-team/damien-craig-howson,AUS,aus
D. PIGANZOLI,davide-piganzoli,https://www.letour.fr/en/rider/18/team-visma-lease-a-bike/davide-piganzoli,ITA,ita
D. VAN BAARLE,dylan-van-baarle,https://www.letour.fr/en/rider/95/soudal-quick-step/dylan-van-baarle,NED,ned
E. AFFINI,edoardo-affini,https://www.letour.fr/en/rider/12/team-visma-lease-a-bike/edoardo-affini,ITA,ita
E. BERNAL #81 | NETCOMPANY INEOS CYCLING TEAM,egan-bernal-gomez,https://www.letour.fr/en/rider/81/netcompany-ineos-cycling-team/egan-bernal-gomez,COL,col
E. COSTIOU,ewen-costiou,https://www.letour.fr/en/rider/184/groupama-fdj-united/ewen-costiou,FRA,fra
E. PLANCKAERT,edward-planckaert,https://www.letour.fr/en/rider/106/alpecin-premier-tech/edward-planckaert,BEL,bel
E. RUBIO,einer-augusto-rubio-reyes,https://www.letour.fr/en/rider/148/movistar-team/einer-augusto-rubio-reyes,COL,col
E. VERSTRYNGE,emiel-verstrynge,https://www.letour.fr/en/rider/108/alpecin-premier-tech/emiel-verstrynge,BEL,bel
F. BIESTERBOS,frits-biesterbos,https://www.letour.fr/en/rider/212/team-picnic-postnl/frits-biesterbos,NED,ned
F. ENGELHARDT,felix-engelhardt,https://www.letour.fr/en/rider/114/team-jayco-alula/felix-engelhardt,GER,ger
F. GANNA,filippo-ganna,https://www.letour.fr/en/rider/84/netcompany-ineos-cycling-team/filippo-ganna,ITA,ita
F. GAVIRIA,fernando-gaviria-rendon,https://www.letour.fr/en/rider/221/caja-rural-seguros-rga/fernando-gaviria-rendon,COL,col
F. GROSSSCHARTNER,felix-grossschartner,https://www.letour.fr/en/rider/3/uae-team-emirates-xrg/felix-grossschartner,AUT,aut
F. LIPOWITZ,florian-lipowitz,https://www.letour.fr/en/rider/25/red-bull-bora-hansgrohe/florian-lipowitz,GER,ger
F. VAN DEN BROEK,frank-van-den-broek,https://www.letour.fr/en/rider/218/team-picnic-postnl/frank-van-den-broek,NED,ned
F. VERMEERSCH,florian-vermeersch,https://www.letour.fr/en/rider/6/uae-team-emirates-xrg/florian-vermeersch,BEL,bel
F. WRIGHT,alfred-brockwell-wright,https://www.letour.fr/en/rider/178/pinarello-q36-5-pro-cycling-team/alfred-brockwell-wright,GBR,gbr
G. BENNETT,george-bennett,https://www.letour.fr/en/rider/133/nsn-cycling-team/george-bennett,NZL,nzl
G. MARTIN GUYONNET,guillaume-martin-guyonnet,https://www.letour.fr/en/rider/186/groupama-fdj-united/guillaume-martin-guyonnet,FRA,fra
G. STEINHAUSER,georg-steinhauser,https://www.letour.fr/en/rider/46/ef-education-easypost/georg-steinhauser,GER,ger
G. ZIMMERMANN,georg-zimmermann,https://www.letour.fr/en/rider/158/lotto-intermarche/georg-zimmermann,GER,ger
H. ARTZ,huub-artz,https://www.letour.fr/en/rider/152/lotto-intermarche/huub-artz,NED,ned
H. PAGE,hugo-page,https://www.letour.fr/en/rider/167/cofidis/hugo-page,FRA,fra
H. TEJADA,harold-tejada-canacue,https://www.letour.fr/en/rider/65/xds-astana-team/harold-tejada-canacue,COL,col
I. DEL TORO,isaac-del-toro-romero,https://www.letour.fr/en/rider/2/uae-team-emirates-xrg/isaac-del-toro-romero,MEX,mex
I. IZAGIRRE,ion-izagirre-insausti,https://www.letour.fr/en/rider/161/cofidis/ion-izagirre-insausti,ESP,esp
I. VAN WILDER,ilan-van-wilder,https://www.letour.fr/en/rider/97/soudal-quick-step/ilan-van-wilder,BEL,bel
J. ABRAHAMSEN,jonas-abrahamsen,https://www.letour.fr/en/rider/122/uno-x-mobility/jonas-abrahamsen,NOR,nor
J. ALAPHILIPPE,julian-alaphilippe,https://www.letour.fr/en/rider/191/tudor-pro-cycling-team/julian-alaphilippe,FRA,fra
J. AYUSO #31 | LIDL-TREK,juan-ayuso-pesquera,https://www.letour.fr/en/rider/31/lidl-trek/juan-ayuso-pesquera,ESP,esp
J. BERCKMOES,jenno-berckmoes,https://www.letour.fr/en/rider/153/lotto-intermarche/jenno-berckmoes,BEL,bel
J. BIERMANS,jenthe-biermans,https://www.letour.fr/en/rider/164/cofidis/jenthe-biermans,BEL,bel
J. CEPEDA,jefferson-cepeda,https://www.letour.fr/en/rider/143/movistar-team/jefferson-cepeda,ECU,ecu
J. DEGENKOLB,john-degenkolb,https://www.letour.fr/en/rider/214/team-picnic-postnl/john-degenkolb,GER,ger
J. DELBOVE,joris-delbove,https://www.letour.fr/en/rider/203/totalenergies/joris-delbove,FRA,fra
J. HINDLEY,jai-hindley,https://www.letour.fr/en/rider/24/red-bull-bora-hansgrohe/jai-hindley,AUS,aus
J. JEGAT,jordan-jegat,https://www.letour.fr/en/rider/201/totalenergies/jordan-jegat,FRA,fra
J. NICOLAU,joel-nicolau-beltran,https://www.letour.fr/en/rider/225/caja-rural-seguros-rga/joel-nicolau-beltran,ESP,esp
J. OTRUBA,jakub-otruba,https://www.letour.fr/en/rider/227/caja-rural-seguros-rga/jakub-otruba,CZE,cze
J. PARRA,jose-felix-parra-cuerda,https://www.letour.fr/en/rider/228/caja-rural-seguros-rga/jose-felix-parra-cuerda,ESP,esp
J. PHILIPSEN,jasper-philipsen,https://www.letour.fr/en/rider/105/alpecin-premier-tech/jasper-philipsen,BEL,bel
J. RICKAERT,jonas-rickaert,https://www.letour.fr/en/rider/107/alpecin-premier-tech/jonas-rickaert,BEL,bel
J. ROMO,javier-romo-oliver,https://www.letour.fr/en/rider/147/movistar-team/javier-romo-oliver,ESP,esp
J. STEWART,thomas-jake-stewart,https://www.letour.fr/en/rider/137/nsn-cycling-team/thomas-jake-stewart,GBR,gbr
J. STUYVEN,jasper-stuyven,https://www.letour.fr/en/rider/94/soudal-quick-step/jasper-stuyven,BEL,bel
J. TARLING,joshua-michael-tarling,https://www.letour.fr/en/rider/87/netcompany-ineos-cycling-team/joshua-michael-tarling,GBR,gbr
J. TRATNIK,jan-tratnik,https://www.letour.fr/en/rider/26/red-bull-bora-hansgrohe/jan-tratnik,SLO,slo
J. VAN DEN BERG,julius-van-den-berg,https://www.letour.fr/en/rider/217/team-picnic-postnl/julius-van-den-berg,NED,ned
J. VINGEGAARD #11 | TEAM VISMA | LEASE A BIKE,jonas-vingegaard-hansen,https://www.letour.fr/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen,DEN,den
K. ASGREEN,kasper-asgreen,https://www.letour.fr/en/rider/42/ef-education-easypost/kasper-asgreen,DEN,den
K. GRADEK,kamil-gradek,https://www.letour.fr/en/rider/74/bahrain-victorious/kamil-gradek,POL,pol
K. NEILANDS,krists-neilands,https://www.letour.fr/en/rider/136/nsn-cycling-team/krists-neilands,LAT,lat
K. O’BRIEN,kelland-o-brien,https://www.letour.fr/en/rider/116/team-jayco-alula/kelland-o-brien,AUS,aus
K. VAUQUELIN,kevin-vauquelin,https://www.letour.fr/en/rider/88/netcompany-ineos-cycling-team/kevin-vauquelin,FRA,fra
L. ASKEY,lewis-askey,https://www.letour.fr/en/rider/132/nsn-cycling-team/lewis-askey,GBR,gbr
L. CRAPS,lars-craps,https://www.letour.fr/en/rider/154/lotto-intermarche/lars-craps,BEL,bel
L. DURBRIDGE,luke-durbridge,https://www.letour.fr/en/rider/113/team-jayco-alula/luke-durbridge,AUS,aus
L. GERMANI,lorenzo-germani,https://www.letour.fr/en/rider/185/groupama-fdj-united/lorenzo-germani,ITA,ita
L. MARTINEZ,lenny-martinez,https://www.letour.fr/en/rider/71/bahrain-victorious/lenny-martinez,FRA,fra
L. PLAPP,lucas-plapp,https://www.letour.fr/en/rider/117/team-jayco-alula/lucas-plapp,AUS,aus
L. SLOCK,liam-slock,https://www.letour.fr/en/rider/155/lotto-intermarche/liam-slock,BEL,bel
L. VAN EETVELT,lennert-van-eetvelt,https://www.letour.fr/en/rider/156/lotto-intermarche/lennert-van-eetvelt,BEL,bel
L. VERVAEKE,louis-vervaeke,https://www.letour.fr/en/rider/98/soudal-quick-step/louis-vervaeke,BEL,bel
M. CATTANEO,mattia-cattaneo,https://www.letour.fr/en/rider/22/red-bull-bora-hansgrohe/mattia-cattaneo,ITA,ita
M. CORT NIELSEN,magnus-cort-nielsen,https://www.letour.fr/en/rider/124/uno-x-mobility/magnus-cort-nielsen,DEN,den
M. FRETIN,milan-fretin,https://www.letour.fr/en/rider/165/cofidis/milan-fretin,BEL,bel
M. FRIGO,marco-frigo,https://www.letour.fr/en/rider/134/nsn-cycling-team/marco-frigo,ITA,ita
M. HALLER,marco-haller,https://www.letour.fr/en/rider/193/tudor-pro-cycling-team/marco-haller,AUT,aut
M. HEßMANN,michel-hessmann,https://www.letour.fr/en/rider/145/movistar-team/michel-hessmann,GER,ger
M. HIRSCHI,marc-hirschi,https://www.letour.fr/en/rider/194/tudor-pro-cycling-team/marc-hirschi,SUI,sui
M. JORGENSON,matteo-jorgenson,https://www.letour.fr/en/rider/16/team-visma-lease-a-bike/matteo-jorgenson,USA,usa
M. KANTER,max-kanter,https://www.letour.fr/en/rider/64/xds-astana-team/max-kanter,GER,ger
M. KWIATKOWSKI,michal-kwiatkowski,https://www.letour.fr/en/rider/86/netcompany-ineos-cycling-team/michal-kwiatkowski,POL,pol
M. LE BERRE,mathis-le-berre,https://www.letour.fr/en/rider/206/totalenergies/mathis-le-berre,FRA,fra
M. LOUVEL,matis-louvel,https://www.letour.fr/en/rider/135/nsn-cycling-team/matis-louvel,FRA,fra
M. MATTHEWS,michael-matthews,https://www.letour.fr/en/rider/115/team-jayco-alula/michael-matthews,AUS,aus
M. MOHORIC,matej-mohoric,https://www.letour.fr/en/rider/75/bahrain-victorious/matej-mohoric,SLO,slo
M. PEDERSEN,mads-pedersen,https://www.letour.fr/en/rider/33/lidl-trek/mads-pedersen,DEN,den
M. RICCITELLO,matthew-riccitello,https://www.letour.fr/en/rider/58/decathlon-cma-cgm-team/matthew-riccitello,USA,usa
M. SCHMID,mauro-schmid,https://www.letour.fr/en/rider/118/team-jayco-alula/mauro-schmid,SUI,sui
M. SKJELMOSE,mattias-skjelmose,https://www.letour.fr/en/rider/35/lidl-trek/mattias-skjelmose,DEN,den
M. STORER,michael-storer,https://www.letour.fr/en/rider/196/tudor-pro-cycling-team/michael-storer,AUS,aus
M. TEUNISSEN,mike-teunissen,https://www.letour.fr/en/rider/66/xds-astana-team/mike-teunissen,NED,ned
M. TRENTIN,matteo-trentin,https://www.letour.fr/en/rider/197/tudor-pro-cycling-team/matteo-trentin,ITA,ita
M. VACEK,mathias-vacek,https://www.letour.fr/en/rider/37/lidl-trek/mathias-vacek,CZE,cze
M. VALGREN,michael-valgren,https://www.letour.fr/en/rider/47/ef-education-easypost/michael-valgren,DEN,den
M. VAN DER POEL,mathieu-van-der-poel,https://www.letour.fr/en/rider/101/alpecin-premier-tech/mathieu-van-der-poel,NED,ned
M. VAN GILS,maxim-van-gils,https://www.letour.fr/en/rider/28/red-bull-bora-hansgrohe/maxim-van-gils,BEL,bel
M. VERCHER,matteo-vercher,https://www.letour.fr/en/rider/208/totalenergies/matteo-vercher,FRA,fra
M. WALKER,max-walker,https://www.letour.fr/en/rider/48/ef-education-easypost/max-walker,GBR,gbr
N. BREUILLARD,nicolas-breuillard,https://www.letour.fr/en/rider/202/totalenergies/nicolas-breuillard,FRA,fra
N. DENZ,nico-denz,https://www.letour.fr/en/rider/23/red-bull-bora-hansgrohe/nico-denz,GER,ger
N. MÄRKL,niklas-maerkl,https://www.letour.fr/en/rider/216/team-picnic-postnl/niklas-maerkl,GER,ger
N. OLIVEIRA,nelson-oliveira,https://www.letour.fr/en/rider/146/movistar-team/nelson-oliveira,POR,por
N. POLITT,nils-politt,https://www.letour.fr/en/rider/5/uae-team-emirates-xrg/nils-politt,GER,ger
N. PRODHOMME,nicolas-prodhomme,https://www.letour.fr/en/rider/57/decathlon-cma-cgm-team/nicolas-prodhomme,FRA,fra
N. VINOKUROV,nicolya-vinokurov,https://www.letour.fr/en/rider/68/xds-astana-team/nicolya-vinokurov,KAZ,kaz
O. KOOIJ,olav-kooij,https://www.letour.fr/en/rider/55/decathlon-cma-cgm-team/olav-kooij,NED,ned
P. ACKERMANN,pascal-ackermann,https://www.letour.fr/en/rider/112/team-jayco-alula/pascal-ackermann,GER,ger
P. ALLEGAERT,piet-allegaert,https://www.letour.fr/en/rider/162/cofidis/piet-allegaert,BEL,bel
P. BAUHAUS,phil-bauhaus,https://www.letour.fr/en/rider/72/bahrain-victorious/phil-bauhaus,GER,ger
P. BITTNER,pavel-bittner,https://www.letour.fr/en/rider/213/team-picnic-postnl/pavel-bittner,CZE,cze
P. CASTRILLO,pablo-castrillo-zapater,https://www.letour.fr/en/rider/142/movistar-team/pablo-castrillo-zapater,ESP,esp
P. EENKHOORN,pascal-eenkhoorn,https://www.letour.fr/en/rider/92/soudal-quick-step/pascal-eenkhoorn,NED,ned
P. HAGENES,per-strand-hagenes,https://www.letour.fr/en/rider/15/team-visma-lease-a-bike/per-strand-hagenes,NOR,nor
P. SEIXAS,paul-seixas,https://www.letour.fr/en/rider/51/decathlon-cma-cgm-team/paul-seixas,FRA,fra
Q. HERMANS,quinten-hermans,https://www.letour.fr/en/rider/174/pinarello-q36-5-pro-cycling-team/quinten-hermans,BEL,bel
Q. PACHER,quentin-pacher,https://www.letour.fr/en/rider/187/groupama-fdj-united/quentin-pacher,FRA,fra
Q. SIMMONS,quinn-simmons,https://www.letour.fr/en/rider/34/lidl-trek/quinn-simmons,USA,usa
R. CARAPAZ,richard-carapaz,https://www.letour.fr/en/rider/41/ef-education-easypost/richard-carapaz,ECU,ecu
R. DEBRUYNE,ramses-debruyne,https://www.letour.fr/en/rider/102/alpecin-premier-tech/ramses-debruyne,BEL,bel
R. DHONDT,robbe-dhondt,https://www.letour.fr/en/rider/215/team-picnic-postnl/robbe-dhondt,BEL,bel
R. EVENEPOEL,remco-evenepoel,https://www.letour.fr/en/rider/21/red-bull-bora-hansgrohe/remco-evenepoel,BEL,bel
R. GARCIA,raul-garcia-pierna,https://www.letour.fr/en/rider/144/movistar-team/raul-garcia-pierna,ESP,esp
R. GREGOIRE,romain-gregoire,https://www.letour.fr/en/rider/181/groupama-fdj-united/romain-gregoire,FRA,fra
R. PLUIMERS,rick-pluimers,https://www.letour.fr/en/rider/195/tudor-pro-cycling-team/rick-pluimers,NED,ned
R. STANNARD,robert-stannard,https://www.letour.fr/en/rider/76/bahrain-victorious/robert-stannard,AUS,aus
S. BERWICK,sebastian-berwick,https://www.letour.fr/en/rider/223/caja-rural-seguros-rga/sebastian-berwick,AUS,aus
S. DILLIER,silvan-dillier,https://www.letour.fr/en/rider/103/alpecin-premier-tech/silvan-dillier,SUI,sui
S. HIGUITA,sergio-andres-higuita-garcia,https://www.letour.fr/en/rider/61/xds-astana-team/sergio-andres-higuita-garcia,COL,col
S. KUSS,sepp-kuss,https://www.letour.fr/en/rider/17/team-visma-lease-a-bike/sepp-kuss,USA,usa
S. OLDANI,stefano-oldani,https://www.letour.fr/en/rider/226/caja-rural-seguros-rga/stefano-oldani,ITA,ita
S. QUINN,sean-quinn,https://www.letour.fr/en/rider/45/ef-education-easypost/sean-quinn,USA,usa
S. VELASCO,simone-velasco,https://www.letour.fr/en/rider/67/xds-astana-team/simone-velasco,ITA,ita
S. WAERENSKJOLD,soeren-waerenskjold,https://www.letour.fr/en/rider/128/uno-x-mobility/soeren-waerenskjold,NOR,nor
T. ARENSMAN,thymen-arensman,https://www.letour.fr/en/rider/82/netcompany-ineos-cycling-team/thymen-arensman,NED,ned
T. BENOOT,tiesj-benoot,https://www.letour.fr/en/rider/52/decathlon-cma-cgm-team/tiesj-benoot,BEL,bel
T. FOSS,tobias-svendsen-foss,https://www.letour.fr/en/rider/83/netcompany-ineos-cycling-team/tobias-svendsen-foss,NOR,nor
T. GUERNALEC,thibault-guernalec,https://www.letour.fr/en/rider/205/totalenergies/thibault-guernalec,FRA,fra
T. JOHANNESSEN,tobias-halland-johannessen,https://www.letour.fr/en/rider/121/uno-x-mobility/tobias-halland-johannessen,NOR,nor
T. MARSMAN,tim-marsman,https://www.letour.fr/en/rider/104/alpecin-premier-tech/tim-marsman,NED,ned
T. MERLIER,tim-merlier,https://www.letour.fr/en/rider/91/soudal-quick-step/tim-merlier,BEL,bel
T. PIDCOCK,tom-pidcock,https://www.letour.fr/en/rider/171/pinarello-q36-5-pro-cycling-team/tom-pidcock,GBR,gbr
T. POGACAR #1 | UAE TEAM EMIRATES XRG,tadej-pogacar,https://www.letour.fr/en/rider/1/uae-team-emirates-xrg/tadej-pogacar,SLO,slo
T. SKUJINS,toms-skujins,https://www.letour.fr/en/rider/36/lidl-trek/toms-skujins,LAT,lat
T. TRÆEN,torstein-traeen,https://www.letour.fr/en/rider/127/uno-x-mobility/torstein-traeen,NOR,nor
T. VAN ASBROECK,tom-van-asbroeck,https://www.letour.fr/en/rider/138/nsn-cycling-team/tom-van-asbroeck,BEL,bel
T. VAN DIJKE,tim-van-dijke,https://www.letour.fr/en/rider/27/red-bull-bora-hansgrohe/tim-van-dijke,NED,ned
T. WELLENS,tim-wellens,https://www.letour.fr/en/rider/7/uae-team-emirates-xrg/tim-wellens,BEL,bel
V. CAMPENAERTS,victor-campenaerts,https://www.letour.fr/en/rider/14/team-visma-lease-a-bike/victor-campenaerts,BEL,bel
V. PARET PEINTRE,valentin-paret-peintre,https://www.letour.fr/en/rider/93/soudal-quick-step/valentin-paret-peintre,FRA,fra
V. VAN MECHELEN,vlad-van-mechelen,https://www.letour.fr/en/rider/78/bahrain-victorious/vlad-van-mechelen,BEL,bel
W. BARGUIL,warren-barguil,https://www.letour.fr/en/rider/211/team-picnic-postnl/warren-barguil,FRA,fra
