team_name,team_slug,team_url
ALPECIN-PREMIER TECH,alpecin-premier-tech,https://www.letour.fr/en/team/APT/alpecin-premier-tech
BAHRAIN VICTORIOUS,bahrain-victorious,https://www.letour.fr/en/team/TBV/bahrain-victorious
CAJA RURAL-SEGUROS RGA,caja-rural-seguros-rga,https://www.letour.fr/en/team/CJR/caja-rural-seguros-rga
COFIDIS,cofidis,https://www.letour.fr/en/team/COF/cofidis
DECATHLON CMA CGM TEAM,decathlon-cma-cgm-team,https://www.letour.fr/en/team/DCT/decathlon-cma-cgm-team
EF EDUCATION - EASYPOST,ef-education-easypost,https://www.letour.fr/en/team/EFE/ef-education-easypost
GROUPAMA-FDJ UNITED,groupama-fdj-united,https://www.letour.fr/en/team/GFC/groupama-fdj-united
LIDL-TREK,lidl-trek,https://www.letour.fr/en/team/LTK/lidl-trek
LOTTO INTERMARCHE,lotto-intermarche,https://www.letour.fr/en/team/LOI/lotto-intermarche
MOVISTAR TEAM,movistar-team,https://www.letour.fr/en/team/MOV/movistar-team
NETCOMPANY INEOS CYCLING TEAM,netcompany-ineos-cycling-team,https://www.letour.fr/en/team/NCI/netcompany-ineos-cycling-team
NSN CYCLING TEAM,nsn-cycling-team,https://www.letour.fr/en/team/NSN/nsn-cycling-team
PINARELLO-Q36.5 PRO CYCLING TEAM,pinarello-q36-5-pro-cycling-team,https://www.letour.fr/en/team/PQT/pinarello-q36-5-pro-cycling-team
RED BULL - BORA - HANSGROHE,red-bull-bora-hansgrohe,https://www.letour.fr/en/team/RBH/red-bull-bora-hansgrohe
SOUDAL QUICK-STEP,soudal-quick-step,https://www.letour.fr/en/team/SOQ/soudal-quick-step
TEAM JAYCO ALULA,team-jayco-alula,https://www.letour.fr/en/team/JAY/team-jayco-alula
TEAM PICNIC POSTNL,team-picnic-postnl,https://www.letour.fr/en/team/TPP/team-picnic-postnl
TEAM VISMA | LEASE A BIKE,team-visma-lease-a-bike,https://www.letour.fr/en/team/TVL/team-visma-lease-a-bike
TOTALENERGIES,totalenergies,https://www.letour.fr/en/team/TEN/totalenergies
TUDOR PRO CYCLING TEAM,tudor-pro-cycling-team,https://www.letour.fr/en/team/TUD/tudor-pro-cycling-team
UAE TEAM EMIRATES XRG,uae-team-emirates-xrg,https://www.letour.fr/en/team/UEX/uae-team-emirates-xrg
UNO-X MOBILITY,uno-x-mobility,https://www.letour.fr/en/team/UXM/uno-x-mobility
XDS ASTANA TEAM,xds-astana-team,https://www.letour.fr/en/team/XAT/xds-astana-team
