race,stage_number,stage_name,date,status,winner,team,distance_km,race_type,start_city,finish_city,home_team,visitor_team,cycling_event_label,cycling_country,cycling_url,cycling_video,home_team_abbrev,visitor_team_abbrev,home_team_badge,visitor_team_badge,league_badge
Tour de France,1,Stage 1,7/4/26,scheduled,,,19.6,Team Time-Trial,Barcelone,Barcelone,Tour de France,Stage 1,Tour de France Stage 1,Spain,https://www.letour.fr/en/stage-1,,,,,,
Tour de France,2,Stage 2,7/5/26,scheduled,,,168.5,Hilly,Tarragone,Barcelone,Tour de France,Stage 2,Tour de France Stage 2,Spain,https://www.letour.fr/en/stage-2,,,,,,
Tour de France,3,Stage 3,7/6/26,scheduled,,,195.9,Mountain,Granollers,Les Angles,Tour de France,Stage 3,Tour de France Stage 3,France,https://www.letour.fr/en/stage-3,,,,,,
Tour de France,4,Stage 4,7/7/26,scheduled,,,181.9,Hilly,Carcassonne,Foix,Tour de France,Stage 4,Tour de France Stage 4,France,https://www.letour.fr/en/stage-4,,,,,,
Tour de France,5,Stage 5,7/8/26,scheduled,,,158.3,Flat,Lannemezan,Pau,Tour de France,Stage 5,Tour de France Stage 5,France,https://www.letour.fr/en/stage-5,,,,,,
Tour de France,6,Stage 6,7/9/26,scheduled,,,186.2,Mountain,Pau,Gavarnie-Gèdre,Tour de France,Stage 6,Tour de France Stage 6,France,https://www.letour.fr/en/stage-6,,,,,,
Tour de France,7,Stage 7,7/10/26,scheduled,,,175.1,Flat,Hagetmau,Bordeaux,Tour de France,Stage 7,Tour de France Stage 7,France,https://www.letour.fr/en/stage-7,,,,,,
Tour de France,8,Stage 8,7/11/26,scheduled,,,180.4,Flat,Périgueux,Bergerac,Tour de France,Stage 8,Tour de France Stage 8,France,https://www.letour.fr/en/stage-8,,,,,,
Tour de France,9,Stage 9,7/12/26,scheduled,,,185.5,Hilly,Malemort,Ussel,Tour de France,Stage 9,Tour de France Stage 9,France,https://www.letour.fr/en/stage-9,,,,,,
Tour de France,R1,Rest 1,7/13/26,scheduled,,,,Rest Day,Cantal,,Tour de France,Rest 1,Tour de France Rest 1,France,,,,,,,
Tour de France,10,Stage 10,7/14/26,scheduled,,,166.6,Mountain,Aurillac,Le Lioran,Tour de France,Stage 10,Tour de France Stage 10,France,https://www.letour.fr/en/stage-10,,,,,,
Tour de France,11,Stage 11,7/15/26,scheduled,,,161.3,Flat,Vichy,Nevers,Tour de France,Stage 11,Tour de France Stage 11,France,https://www.letour.fr/en/stage-11,,,,,,
Tour de France,12,Stage 12,7/16/26,scheduled,,,179.1,Flat,Circuit Nevers Magny-Cours ,Chalon-Sur-Saône,Tour de France,Stage 12,Tour de France Stage 12,France,https://www.letour.fr/en/stage-12,,,,,,
Tour de France,13,Stage 13,7/17/26,scheduled,,,205.8,Hilly,Dole,Belfort,Tour de France,Stage 13,Tour de France Stage 13,France,https://www.letour.fr/en/stage-13,,,,,,
Tour de France,14,Stage 14,7/18/26,scheduled,,,155.3,Mountain,Mulhouse,Le Markstein Fellering,Tour de France,Stage 14,Tour de France Stage 14,France,https://www.letour.fr/en/stage-14,,,,,,
Tour de France,15,Stage 15,7/19/26,scheduled,,,183.9,Mountain,Champagnole,Plateau De Solaison,Tour de France,Stage 15,Tour de France Stage 15,France,https://www.letour.fr/en/stage-15,,,,,,
Tour de France,R2,Rest 2,7/20/26,scheduled,,,,Rest Day,Haute-Savoie,,Tour de France,Rest 2,Tour de France Rest 2,France,,,,,,,
Tour de France,16,Stage 16,7/21/26,scheduled,,,26.1,Individual Time-Trial,Évian-Les-Bains,Thonon-Les-Bains,Tour de France,Stage 16,Tour de France Stage 16,France,https://www.letour.fr/en/stage-16,,,,,,
Tour de France,17,Stage 17,7/22/26,scheduled,,,174.7,Flat,Chambery,Voiron,Tour de France,Stage 17,Tour de France Stage 17,France,https://www.letour.fr/en/stage-17,,,,,,
Tour de France,18,Stage 18,7/23/26,scheduled,,,185.2,Mountain,Voiron,Orcières-Merlette,Tour de France,Stage 18,Tour de France Stage 18,France,https://www.letour.fr/en/stage-18,,,,,,
Tour de France,19,Stage 19,7/24/26,scheduled,,,127.9,Mountain,Gap,Alpe D'Huez,Tour de France,Stage 19,Tour de France Stage 19,France,https://www.letour.fr/en/stage-19,,,,,,
Tour de France,20,Stage 20,7/25/26,scheduled,,,170.9,Mountain,Le Bourg D'Oisans,Alpe D'Huez,Tour de France,Stage 20,Tour de France Stage 20,France,https://www.letour.fr/en/stage-20,,,,,,
Tour de France,21,Stage 21,7/26/26,scheduled,,,133,Flat,Thoiry,Paris Champs-Élysées,Tour de France,Stage 21,Tour de France Stage 21,France,https://www.letour.fr/en/stage-21,,,,,,
